accX,accY,accZ,gX,gY,gZ
-8092,-8404,10468,-681,431,-294
-8116,-8420,10700,-660,344,-237
-8040,-8388,10572,-573,393,-223
-7972,-8376,10548,-483,448,-217
-8040,-8612,10496,-535,409,-154
-8136,-8448,10468,-463,320,-117
-7864,-8260,10536,-473,371,-129
-8016,-8340,10388,-577,423,-138
-8036,-8368,10428,-573,311,-190
-8108,-8256,10524,-537,266,-205
-7904,-8264,10552,-516,389,-227
-7876,-8368,10412,-642,559,-237
-8100,-8444,10512,-613,579,-215
-8168,-8428,10488,-590,425,-237
-8072,-8576,10708,-405,321,-215
-7904,-8456,10300,-423,408,-197
-7896,-8368,10408,-483,529,-137
-8000,-8384,10676,-488,489,-212
-8028,-8516,10844,-409,612,-170
-8552,-8376,11540,-55,1198,303
-7900,-8356,12396,763,2612,829
-7400,-8804,12252,1636,4017,1042
-7608,-8720,11864,2241,5826,1196
-8276,-7968,11612,2547,7259,2200
-8712,-7208,10688,1953,8838,2585
-8216,-7004,9988,1140,11772,3731
-8500,-6516,9624,447,13759,3974
-9000,-6380,8948,-25,14405,3091
-9548,-6292,7872,-1017,14607,2356
-11548,-6408,7256,-2275,13101,2931
-10404,-7388,7852,-2228,12949,2227
-12380,-7500,7472,-1845,10957,2048
-12048,-6872,6856,-1583,9952,1475
-12424,-7264,6228,-1536,9397,710
-12440,-7444,5904,-1501,9049,829
-12496,-7508,5572,-1476,8450,896
-12104,-7088,4800,-1884,7614,212
-12932,-7196,4992,-2025,6288,-75
-13188,-7548,5076,-1754,4364,234
-12660,-7244,4768,-1562,2234,538
-12068,-6432,4072,-2073,1888,137
-13164,-6448,4172,-2803,1265,82
-12624,-6856,5404,-2599,266,381
-11876,-7248,5440,-1601,535,228
-12728,-7076,4608,-1216,951,356
-13492,-6876,4196,-1679,392,1378
-12560,-6220,4124,-2764,-1074,2025
-11948,-6788,4648,-3748,437,3038
-12760,-7568,5124,-4064,1229,2874
-13472,-7852,5276,-3714,1827,3015
-15500,-7620,5408,-3065,-811,3495
-12976,-8268,5476,-1559,-4145,4118
-13752,-6644,4116,-1400,-6897,1586
-14140,-7036,4376,-2295,-9218,953
-14164,-6836,5088,-2672,-11646,1520
-11756,-6556,6160,-2716,-11338,997
-12128,-6948,6944,-1669,-12062,1174
-11592,-6924,7236,28,-11774,1465
