accX,accY,accZ,gX,gY,gZ
-2732,15652,-4132,-506,-141,-119
-2208,15556,-4088,-508,-108,-141
-2448,15656,-3916,-538,-92,-387
-2188,15764,-4036,-563,-33,-424
-2560,15800,-3696,-522,466,-430
-2532,15536,-3984,-572,510,-287
-2832,15580,-3960,-605,930,-192
-3012,15644,-3948,-635,787,-89
-2960,15760,-3480,-662,746,-352
-3364,15556,-3780,-517,633,-228
-3400,15716,-4092,-664,333,-156
-3184,15656,-3832,-652,290,-188
-3420,15760,-3816,-657,266,-169
-3232,15688,-3676,-614,68,-113
-3172,15616,-3716,-592,-127,-217
-3068,15528,-3888,-739,-311,-243
-3252,15528,-3696,-818,-629,-225
-2828,15528,-3960,-664,-143,-272
-2776,15608,-3648,-558,21,-173
-2868,15568,-3836,-353,86,-88
-1544,15532,-3792,-335,633,279
-3056,16048,-3888,-423,664,-346
-2476,15776,-3712,-495,616,-162
-2832,15668,-3620,-328,966,-163
-1780,15620,-3308,-192,1004,-262
-2792,15628,-3856,-292,904,-134
-3100,15648,-3884,-381,834,-178
-3276,15800,-3924,-308,839,-129
-3228,15636,-3860,-288,760,-87
-3132,15580,-4032,-275,505,-134
-3004,15732,-3944,-340,203,-86
-2844,15720,-3996,-466,39,-78
-2960,15540,-3724,-505,55,-231
-2800,15616,-3708,-300,104,-61
-2912,15716,-3704,-334,202,-90
-3032,15764,-3984,-447,-144,-168
-2664,15632,-3528,-554,-186,-245
-2684,15448,-3428,-377,70,-274
-2824,15580,-3496,-116,66,-174
-2772,15624,-3748,0,205,-47
-2864,15676,-4012,-86,339,72
-2680,15736,-4052,-315,163,-117
-2992,15680,-3824,-247,263,-177
-2948,15596,-3776,-184,232,-164
-2764,15928,-3376,-244,397,-244
-2384,15672,-3180,26,740,45
-3244,15516,-4104,-89,420,168
-3452,15704,-4072,-266,226,-107
-3068,15588,-3892,-294,553,-154
-2844,15632,-3700,-290,1382,121
-3612,15020,-3648,327,1478,157
-4180,15152,-3480,954,200,300
-4040,14864,-4768,2367,6,-169
-4436,16380,-6124,947,-2051,-910
-4432,15760,-6864,926,-4085,-1635
-2964,16148,-5400,1463,-4242,-2724
-4100,15232,-6440,1995,-3287,-2366
-3780,14704,-7992,2791,-3277,-2032
-4760,13928,-8588,3542,-4182,-2217
-5232,14164,-9860,4481,-4920,-3126
-5316,14604,-11228,4934,-5387,-4045
-6116,14444,-11020,5878,-6490,-4781
-5880,14844,-9596,7715,-6648,-5352
-6840,14916,-9812,9639,-5645,-5856
-7820,15168,-11500,11153,-5773,-6099
