accX,accY,accZ,gX,gY,gZ
-15172,5708,-4924,-27,-75,-304
-15704,6276,-4084,-110,-1526,-673
-15244,6144,-4164,-231,-1655,-912
-15808,6656,-4400,-654,-942,-580
-15624,6832,-3720,-1065,-1141,-156
-14800,6672,-3164,-1276,-2100,255
-12348,6176,-1944,-874,-1124,93
-12688,5928,-1476,-148,230,318
-13580,6124,-2476,354,-7,457
-13384,6324,-2992,276,-732,568
-13528,6320,-2892,63,-755,597
-14396,6420,-3084,-112,-522,742
-14648,6284,-3360,-446,-101,1091
-14916,6136,-3156,-1116,-114,1313
-14388,6068,-2760,-1603,704,1319
-14508,5876,-3204,-1959,2035,1696
-14828,5632,-3228,-2325,2241,1693
-14672,5616,-2868,-2548,1532,1434
-14948,5740,-2984,-2364,1638,1374
-14704,6064,-3348,-2239,1481,1143
-15140,6176,-3428,-1737,1663,543
-15664,6456,-4492,-1487,947,-10
-14864,6204,-4520,-1606,-876,-210
-13892,6128,-3692,-1433,-1190,-501
-13892,5976,-3696,-896,-235,-631
-14756,6452,-4304,-988,-455,-732
-14456,6224,-3812,-1282,-1005,-637
-13832,5904,-3184,-1119,-827,-643
-13700,6044,-3208,-888,-47,-666
-14052,5844,-3520,-911,100,-509
-13776,5760,-3292,-927,-135,-311
-13752,5560,-2736,-750,-48,-297
-13848,5624,-2872,-415,194,-184
-14220,5840,-3304,-239,487,-73
-14604,5912,-3604,-319,239,-47
-14404,5924,-3260,-424,-37,-27
-14100,5784,-2668,-343,-99,-99
-14240,5952,-3016,-175,56,-182
-14416,6204,-3384,-289,100,-273
-14952,6188,-3492,-400,44,-246
-14304,6216,-3000,-419,-228,-437
-13984,6068,-2928,-330,102,-542
-14312,5724,-2860,-225,478,-512
-14228,5888,-3176,-251,635,-394
-14156,5888,-3236,-301,463,-487
-14112,5860,-3244,-394,680,-603
-14156,5956,-2996,-411,859,-538
-14192,6100,-3680,-441,956,-496
-14156,6248,-3712,-696,725,-501
-13728,6312,-3256,-592,595,-634
-14180,6184,-3120,-275,753,-245
-14412,6256,-3364,-210,550,-110
-14368,6440,-3408,-181,426,25
-14264,6400,-3216,-113,414,-37
-14100,6280,-3020,54,644,-15
-14232,6240,-3280,69,580,66
-14004,6256,-3336,-69,408,-37
-14124,6196,-3216,-161,475,-105
-14116,6136,-3452,-345,587,-219
-14484,6128,-3528,-445,670,-229
-14424,6052,-3516,-622,413,-313
-14348,5916,-3092,-664,454,-166
-14476,5964,-3340,-579,343,-156
-14396,5964,-3556,-510,277,-32
-14312,5920,-3452,-677,41,83
-13996,6032,-3044,-663,362,43
-14068,6096,-3028,-415,442,69
-14436,6216,-3668,-364,442,67
-14432,6208,-3524,-432,444,15
-14436,6216,-3672,-425,554,-37
-14488,6256,-3692,-557,573,-138
-13516,6192,-3340,-459,521,-451
-14224,5816,-3616,-418,756,-178
-14312,6016,-3632,-632,649,-327
-14276,5944,-3372,-682,805,-248
-14156,5852,-3152,-699,887,-266
-14384,5940,-3472,-682,919,-250
-13936,6088,-3352,-683,857,-290
-14336,5924,-3476,-716,887,-201
-14308,6028,-3516,-784,721,-95
-14340,5932,-3520,-905,426,18
-14444,6024,-3424,-920,337,76
-14448,5932,-3352,-691,326,182
-14488,6048,-3536,-680,218,431
-14072,6080,-3560,-891,43,477
-14036,6016,-3452,-1008,187,610
-13792,5964,-3204,-980,352,616
-13756,6056,-3176,-956,413,378
-14076,6208,-3564,-865,322,146
-14128,6436,-3692,-825,398,37
-13980,6524,-3976,-972,524,-26
-14196,6360,-3984,-1172,421,-104
-14016,6280,-3668,-1262,252,-118
-13988,6144,-3640,-1300,293,35
-14328,6332,-3872,-1352,-281,111
-14124,6196,-3476,-1527,-663,131
-14044,6192,-2724,-1276,32,-56
-13968,6292,-3260,-931,729,-49
-14752,6452,-3792,-1067,528,-27
-14468,6412,-3564,-1152,366,-94
-14624,6328,-2992,-987,350,-156
-14324,6336,-3196,-810,540,-274
-14500,6348,-3420,-792,515,-366
-14540,6128,-3232,-785,318,-455
-14476,6184,-3372,-724,149,-473
-14516,6120,-3344,-746,141,-515
-14204,5952,-2964,-571,256,-578
-14280,5940,-3116,-382,302,-543
-14092,6360,-3632,-473,-91,-630
-13952,6508,-3896,-759,-642,-861
-14020,6696,-3724,-1065,-1173,-1114
-14660,6412,-2748,-919,-1176,-870
-14344,5904,-2436,-395,-876,-495
-13916,6040,-2688,-68,-137,-140
-13860,6012,-2892,-80,259,-45
-14124,6136,-3060,-246,254,18
-14328,6248,-2952,-258,-226,-44
-14380,6204,-3036,-178,-241,92
-14064,6084,-2900,-46,-17,266
-14112,6228,-2936,-76,69,447
-14008,6352,-2984,-52,347,339
-14184,6304,-2916,-48,423,345
-14776,6352,-3200,-123,122,326
-14400,6340,-2636,-273,-14,361
-14004,6180,-2712,-243,201,310
-14332,6580,-2904,-229,387,225
-14336,6356,-2744,-313,156,93
-14212,6288,-2680,-255,127,159
-14296,6424,-2920,-245,279,82
-14400,6240,-2808,-336,286,95
-14496,6156,-2528,-228,317,69
-14420,6016,-2608,-83,282,63
-13924,6076,-2872,-164,314,172
-14044,6160,-2908,-333,441,231
-14124,6220,-2976,-401,403,155
-14124,6224,-3064,-386,411,161
-14212,6348,-2868,-311,441,139
-14256,6372,-2820,-259,410,61
-14256,6552,-3236,-247,478,48
-14136,6496,-3028,-387,665,-16
-14220,6840,-3012,-436,694,-298
-14352,6456,-3128,-406,424,-285
-14200,6336,-2924,-395,566,-341
-14264,6244,-3100,-477,478,-306
-14084,6300,-3028,-550,454,-226
-14076,6584,-3032,-489,565,-290
-14168,6660,-2904,-496,442,-369
-14124,6588,-3128,-494,311,-369
-14040,6472,-3196,-465,532,-360
-14128,6700,-3124,-366,465,-427
