accX,accY,accZ,gX,gY,gZ
-13476,3464,-8620,-311,302,428
-13916,3604,-9084,-372,-134,328
-13736,3744,-8844,-245,-608,224
-13968,3696,-9228,108,-692,154
-13872,3948,-9268,-7,-1321,153
-13084,3860,-7956,-351,-663,61
-13436,3612,-8152,-371,156,1
-13584,3844,-8136,-423,71,104
-13176,3740,-8292,-337,164,72
-13596,3496,-8360,-447,97,43
-13396,3520,-7940,-434,8,66
-13208,3592,-7916,-279,456,169
-13348,3508,-8392,-366,590,199
-13740,3684,-8372,-452,606,210
-13700,3412,-8460,-501,452,346
-14168,3672,-8300,-647,56,232
-13280,3724,-8108,-603,117,173
-13480,3568,-8332,-517,-113,106
-13156,3476,-8020,-367,325,148
-13588,3704,-8484,-410,459,204
-13376,3532,-7964,-290,726,186
-13336,3644,-8340,-252,91,291
-13148,3672,-8380,-233,201,209
-13256,3780,-8504,-193,369,265
-13564,3904,-8424,-355,683,285
-13032,3932,-8532,-519,638,336
-13500,3976,-8336,-499,658,258
-13348,4308,-8408,-443,94,312
-13556,4212,-8912,-423,389,192
-13808,4320,-8804,-593,83,91
-13512,4140,-8368,-417,1,-4
-13796,4204,-8700,-220,10,-121
-13528,4052,-8464,-99,-177,-207
-13360,4080,-8396,67,-265,-416
-13380,4044,-8396,46,-5,-645
-13140,3792,-8132,116,525,-840
-13848,3968,-8180,138,810,-661
-13612,3872,-8436,100,511,-770
-13460,3896,-8236,-60,496,-834
-13428,4004,-8072,-166,913,-847
-13716,3804,-8552,59,979,-696
-13880,3780,-8260,40,641,-431
-13604,3940,-8284,225,875,-388
-13216,3740,-8896,266,834,-126
-13492,3824,-8760,-134,777,-173
-12900,3976,-7880,-156,1461,6
-13300,3740,-8128,80,1306,303
-12436,3740,-8680,115,1261,381
-12624,3640,-8736,-177,2185,702
-13432,3600,-8716,-315,2415,686
-12284,3308,-8244,-667,2744,1209
-12500,3780,-8640,-505,3308,1327
-13392,3724,-9060,-567,3563,1760
-12432,3732,-8840,-731,3578,1987
-13000,4080,-9268,-233,3915,2004
-13292,4096,-10008,93,3697,2078
-14568,3896,-9472,-453,2387,1597
-14104,2988,-8452,-108,1214,1138
-13632,3492,-9520,-366,716,905
-14396,3368,-9396,-522,1251,-18
-14268,3784,-9684,-562,818,-263
-13652,4096,-9284,-360,-214,-398
-12284,4008,-9684,-47,-138,-270
-11668,4400,-9568,211,476,-246
-11960,4480,-10048,385,609,-305
-12192,4612,-10460,354,310,-448
-12480,4104,-9420,281,595,-273
-12536,4132,-9828,494,1043,-95
-12268,4216,-10192,283,665,-405
-12632,3856,-9480,33,593,-572
-12452,3996,-9252,40,831,-547
-12600,4160,-9768,32,783,-582
-12468,4148,-9468,-91,559,-588
-12804,4240,-9684,-228,621,-846
-13224,4600,-10364,-102,428,-329
-12788,3952,-9692,-526,-144,-318
-12764,4552,-9828,-232,548,-61
-11776,4180,-9508,-448,148,-3
-12600,4192,-9864,-489,625,45
-13104,4116,-9616,-826,547,79
-12728,4160,-9512,-711,283,194
-12868,4064,-10296,-846,75,48
-12840,3928,-9888,-959,-4,178
-12888,3612,-9428,-746,458,23
-12800,3668,-9740,-482,578,-317
-13252,3756,-9804,-471,-99,-362
-12696,3620,-9700,-343,69,-255
-13296,3720,-10492,-461,-275,-240
-12924,3572,-10112,-503,-1114,-519
-13016,3576,-9664,-314,-1356,-806
-13012,3596,-9808,-41,-1443,-897
-12864,3668,-10012,80,-1478,-871
-12932,3532,-9824,166,-1263,-951
-12940,3740,-9836,242,-553,-1058
-13072,3852,-9788,200,-423,-1041
-12900,3804,-9428,176,-959,-1102
-13024,3816,-9512,310,-952,-1148
-12860,3628,-9516,355,-284,-1070
-13372,3812,-9820,320,-509,-1000
-13148,3996,-10120,250,-561,-917
-14320,4160,-10584,16,-1093,-942
-14872,4348,-10724,-238,-1765,-814
-14168,3912,-9884,-154,-2494,-1184
-14748,3852,-10256,-103,-3046,-1237
-14652,3676,-10628,-287,-4431,-1087
-14264,3660,-10040,-109,-4793,-886
-14284,3616,-9440,427,-5530,-1076
-14112,3460,-8780,1097,-6880,-1312
-12712,2736,-7744,2134,-7382,-2006
-10932,2832,-6372,3057,-5379,-2142
-11860,2928,-6368,3405,-3054,-2635
-12552,2444,-6588,3469,-2878,-2584
-12600,2064,-6580,3321,-2154,-2384
-13648,1988,-6276,3258,-2544,-2666
-14616,1860,-6172,3153,-2443,-2463
-14356,1932,-6536,3186,-1207,-2084
-15268,1900,-6864,2884,-840,-1772
-15604,1884,-6576,2816,-681,-1505
-15748,1876,-6492,2797,-768,-1480
-15744,1580,-6756,2767,-2050,-1724
-14628,1332,-6224,2972,-1968,-1852
-14716,788,-6272,3181,-1241,-1755
-15496,956,-6288,3193,-1429,-2162
-15664,676,-6108,2969,-2576,-2382
-15268,408,-5992,2700,-2908,-2569
-14588,268,-6204,2545,-2093,-2524
-14696,416,-6456,2096,-1601,-2552
-15400,660,-6316,1734,-1473,-2453
-15376,556,-5820,1367,-2087,-2467
-14712,1020,-6404,1144,-1426,-2345
-14956,692,-6432,879,-934,-2215
-14848,48,-6080,778,-655,-2086
-15400,-152,-5608,759,-1498,-2130
-15352,64,-5904,443,-1796,-2132
-14656,-516,-5632,611,-922,-1799
-14732,-736,-5844,711,-101,-1397
-15468,-432,-6276,510,-244,-1697
-14876,-384,-5640,353,-1176,-2094
-14824,-480,-5312,468,-195,-2030
-14948,-636,-5096,804,517,-2015
-15068,-876,-5444,841,68,-2106
-15268,-1072,-5156,611,-514,-2303
-15120,-1112,-4940,525,239,-2361
-14832,-1224,-4932,586,834,-2276
-15280,-1820,-4828,419,698,-2322
-15872,-1852,-4772,377,312,-2328
-15456,-1920,-5336,310,280,-2019
-15032,-1620,-5292,18,504,-2294
-15116,-2036,-4736,-181,423,-2265
-14912,-2036,-4504,-186,-5,-2191
-14004,-2204,-4264,31,571,-1817
-13040,-2300,-4236,231,715,-1512
-12812,-2572,-4116,212,718,-1127
-12192,-2332,-4392,5,992,-654
-11980,-2196,-4368,-477,1667,-70
-11156,-1736,-3948,-981,2349,665
-11156,-768,-3772,-1412,1936,1287
-10764,-92,-3016,-1841,2010,1730
-10624,696,-2976,-1836,2677,1914
-11588,1212,-4168,-1993,3273,2795
-12176,2388,-5060,-3074,3827,3373
-13360,2992,-4780,-4276,3574,4265
-12940,2932,-3416,-4909,3822,4766
-13408,4424,-5268,-5652,5655,5293
-14644,4480,-8316,-7520,6146,6236
-16376,4368,-7376,-9271,5485,7477
-15488,4492,-5148,-10139,5170,8042
-15412,4252,-6096,-10710,5534,7847
-16384,3824,-8680,-11885,6405,8698
-16724,3332,-8480,-13517,7061,9816
-16024,3296,-6096,-14583,5875,9694
-15184,4004,-5916,-14472,5620,9142
-15368,3536,-9188,-14862,6448,9457
-15440,2492,-8856,-16121,7212,9574
-16044,3640,-5736,-17056,6231,9512
-15648,5760,-8068,-17252,5863,8899
-16088,7944,-9492,-17096,6431,9585
-15108,8272,-7900,-16252,6147,8748
-14780,9224,-8104,-15502,4368,7789
-13940,9948,-8424,-15430,4326,7097
-13296,10556,-8592,-15074,6388,6583
-14440,11532,-9296,-15112,6401,5941
-14604,12024,-8836,-15296,4771,5284
-13308,12932,-9720,-15241,3693,3978
-13300,13092,-7884,-14265,4112,3685
-12868,13716,-8192,-12573,4307,3379
-12356,14036,-9008,-11207,3052,2191
-11164,12684,-8124,-9676,1210,1499
-10712,11648,-7956,-8565,-808,572
-9568,11480,-8220,-7500,-756,-48
-9528,11460,-9176,-6842,-1700,-401
-9612,11764,-9160,-6504,-1527,-771
-8664,11108,-8340,-6157,-598,-987
-9464,11216,-8036,-5712,552,-1333
-9456,10028,-6272,-4800,867,-1120
-8532,9512,-6584,-3935,571,-1502
-8212,8892,-6872,-3527,333,-1257
-8464,7852,-6252,-2970,221,-1105
-7964,6884,-5604,-2322,556,-1072
-8372,6468,-6064,-1543,1394,-901
-7840,6480,-6972,-1429,1865,-1446
-9012,6352,-6368,-1226,1993,-1477
-9328,6516,-7008,-660,1931,-1457
-9984,6668,-6860,133,1750,-1403
-9160,6688,-5536,1388,1232,-1365
-10728,6548,-4988,3262,1094,-567
-10700,6820,-6528,4322,15,-377
-10012,7308,-7272,4896,-685,206
-10068,7432,-7100,5513,480,809
-10416,6384,-6964,6048,703,1218
-9920,6400,-7668,6288,647,-35
-10696,7072,-8784,6848,824,93
-11976,7484,-9580,7206,122,-182
-12456,6620,-9528,7361,540,-1247
-13096,8308,-8624,8139,2008,-2196
-15208,9836,-9764,9286,253,-2057
-13548,10144,-10716,10071,-902,-2145
-13348,10036,-11820,10784,-349,-2621
-17288,11016,-11924,11178,-640,-2828
-17812,12032,-12232,11331,-2893,-3834
-16296,13036,-12516,11878,-3080,-4465
-15480,12956,-11056,12619,-2685,-4958
-16020,13584,-10256,13951,-3783,-5121
-15964,14440,-11228,14248,-4533,-5507
-14612,13328,-10588,14324,-4542,-6065
-13432,11752,-8472,15469,-3382,-7088
-12672,10520,-7956,16705,-4508,-8858
-13024,9476,-8500,17385,-6092,-10070
-12648,7912,-9008,17473,-5816,-10229
-13996,7776,-9752,16925,-5367,-10513
-15164,7672,-8508,15626,-5479,-9967
-16184,7636,-7808,14488,-6868,-9489
-14232,7468,-8316,13530,-5327,-8734
-14240,6544,-7232,11745,-4432,-9044
-13268,6716,-6240,10924,-4416,-8781
-12576,5084,-5408,10634,-4890,-8394
-12416,4860,-6644,9221,-4728,-8241
-12496,4376,-6372,8114,-4959,-7662
-11168,3904,-5284,7098,-4718,-6920
-11920,3768,-4744,5699,-5318,-6480
-9972,2732,-5416,4607,-4566,-5584
-9532,1988,-5244,3273,-2408,-4909
-9408,1820,-3892,2385,-747,-4494
-9900,1184,-2852,1764,-246,-4298
-10252,652,-4156,835,-629,-3571
-10224,-524,-4204,-32,44,-2690
-10044,-676,-3480,-775,1531,-1840
-10072,-976,-2776,-1004,1519,-1562
-10608,-1436,-3620,-1670,1930,-819
-11656,-1472,-5084,-2414,2367,491
-11344,-660,-5108,-3585,2886,1649
-10740,-164,-3648,-3901,3561,2448
-11324,1736,-3944,-4096,4523,3789
-12112,2248,-7104,-4835,5456,5009
-13204,1900,-7988,-6540,6478,6591
-13532,3420,-6928,-8058,6961,7650
-14164,4648,-7008,-9339,6936,8335
-14532,4396,-9716,-10774,8040,8966
-15484,4396,-10892,-12759,9483,9842
-17260,5324,-9900,-15182,8241,10334
-18476,6684,-9280,-16243,6380,11003
-17400,7072,-10704,-17132,5117,10892
-18280,8276,-11188,-17375,5322,11518
-17716,9436,-11004,-18061,2541,11757
-15840,9724,-10692,-18237,2638,12436
-16172,11076,-11980,-17900,5319,12744
-16360,12000,-11828,-17900,4197,12016
-15264,11848,-10524,-17436,1111,11403
-14948,10624,-11420,-17075,-1322,9624
-14344,9360,-10928,-15462,570,8609
-13968,8548,-9804,-13404,3229,7738
-13260,8192,-10520,-12802,1825,6806
-10116,7408,-9552,-12140,-408,6910
-8492,7216,-10016,-11644,-2,6857
-9116,8088,-10904,-11339,293,5813
-8840,7980,-10056,-10750,42,4604
-9132,7772,-9484,-9296,1179,3811
-9360,7536,-10552,-7883,2609,2735
-9136,6748,-9808,-6561,2994,1673
-11020,6156,-8752,-5577,1464,408
-10596,5104,-8700,-4147,-803,-698
-9324,4260,-8616,-2269,-701,-1616
-10380,4168,-9348,-1029,-308,-2424
-11736,4944,-9232,-552,-529,-2216
-11668,5220,-7504,274,-1403,-2103
-10416,5164,-6776,2130,-1445,-2428
-10176,6024,-8260,3631,-287,-2508
-11376,6980,-9864,4473,568,-2312
-13508,8092,-9380,5588,-208,-2221
-13696,8996,-8788,6869,-2360,-2630
-12656,8504,-9488,8204,-3288,-3356
-13032,8516,-10584,8774,-2924,-4757
-14720,9608,-11108,9516,-2706,-5536
-13752,9936,-11056,9604,-4304,-6737
-13976,9580,-12000,9334,-3654,-7869
-17328,9540,-9796,9274,-3104,-8489
-15876,9788,-7984,10322,-3058,-9314
-14968,10976,-8856,11729,-3878,-9627
-13956,10904,-8772,11951,-4192,-10481
-15260,9752,-8060,13509,-2237,-10305
-16008,8760,-7668,15126,-1771,-9545
-16632,8940,-6884,15801,-3990,-9684
-15860,9124,-6328,16861,-5080,-10131
-15768,8636,-7992,17360,-4450,-10000
-16348,8416,-9436,16421,-3261,-9478
-15384,7716,-7980,15144,-2799,-9144
-15848,6328,-5288,15195,-3983,-8802
-14236,5908,-5920,15257,-4682,-9106
-11844,5212,-7376,14456,-3973,-9314
-11812,4900,-7968,13079,-2522,-8639
-11972,4632,-6032,11795,-2093,-7523
-11512,4152,-5432,11102,-2461,-7065
-11988,4936,-6784,9731,-1459,-6884
-12356,4760,-7524,8497,-411,-6188
-12112,4460,-6180,7470,-76,-5277
-10692,4340,-4984,6200,-943,-5506
-10456,3652,-4644,5208,-1260,-5384
-10044,2768,-5148,4017,-549,-4857
-10348,2136,-4908,2276,-483,-3999
-9640,1788,-3704,973,913,-2489
-9708,1140,-2592,317,1442,-1519
-9752,1152,-2808,-190,1793,-530
-9516,1052,-3736,-963,1923,233
-9340,432,-4140,-1961,2347,1269
-9832,1152,-4520,-3037,2849,2369
-10452,1636,-5340,-3946,3464,3511
-11160,2468,-5852,-4849,4586,4928
-14412,3448,-5400,-6016,4059,5911
-14708,3096,-6520,-7094,3565,6512
-15840,5484,-8988,-8729,5223,7955
-18040,5556,-10092,-11080,4421,9462
-18360,6568,-9124,-13327,3992,10599
-19044,8524,-9560,-14463,4467,11950
-18392,8296,-9552,-15479,2916,12442
-17000,6532,-8680,-16275,4020,13474
-16916,5596,-10128,-17430,5430,14711
-17188,6376,-10528,-19348,4358,15193
-16160,7644,-9024,-20008,4438,15572
-14920,9464,-9424,-19409,5457,15151
-15032,11032,-9936,-18769,5247,14219
-13876,11520,-10140,-17025,5388,13088
-13636,11632,-11956,-15245,4790,12009
-12668,10740,-12408,-15578,2689,10089
-13328,9588,-11160,-15413,1862,7941
-14076,8452,-10704,-13939,4001,7040
-12276,8248,-10520,-12952,3633,5869
-10844,8008,-10004,-11980,1440,4342
-10260,6376,-9668,-10454,2070,3602
-9668,5972,-10744,-8828,2532,3086
-10472,5624,-11596,-7585,1864,2187
-10144,5488,-11136,-6856,-132,724
-10088,5000,-10556,-5650,-353,-38
-9852,4776,-10656,-4008,31,-834
-9536,4872,-10652,-2559,-653,-1411
-9664,4724,-8944,-1252,-1669,-1766
-9300,4960,-9332,360,-1578,-1780
-9376,5088,-9332,1538,-33,-1605
-10872,5948,-8044,2467,1039,-1601
-12612,6628,-7668,3826,829,-1029
-13728,7824,-8736,4903,-622,-1271
-12800,8632,-8408,6543,411,-1925
-14480,9728,-10604,7673,48,-2536
-14316,9824,-11108,8044,-395,-3229
-13512,9320,-10256,8511,202,-4366
-15144,10420,-10648,9029,563,-4811
-15068,10492,-8956,10059,-18,-5467
-13760,10300,-8252,12159,278,-6124
-13876,9932,-9036,14313,-165,-6993
-14260,10424,-9476,16133,-1079,-7840
-14304,10416,-10668,17481,-2261,-8933
-14860,10392,-11760,18067,-2904,-9239
-15100,10572,-11920,17840,-3667,-9943
-15948,11232,-10840,17527,-3258,-10550
-17336,11260,-10428,17516,-4166,-10655
-16572,12028,-10328,17621,-4010,-10472
