accX,accY,accZ,gX,gY,gZ
-1144,16772,924,-1131,-96,527
-1256,16116,956,-1037,177,546
-1356,15820,840,-991,313,443
-1128,15652,800,-1110,364,263
-1092,15576,1212,-934,303,45
-1188,15888,1396,-601,-155,137
-1124,15868,1416,-613,-417,381
-880,14984,788,-1123,-116,562
-520,14852,288,-1571,294,342
-332,15292,820,-1441,662,-389
-948,16768,1036,-806,639,-695
-924,16984,896,-296,-18,-517
-800,16468,416,-426,-434,-389
-500,16548,316,-818,-401,-496
-760,16192,1292,-587,-129,-639
-972,16536,1196,-312,-158,-407
-1032,16100,1220,-452,-443,-387
-648,16648,1060,-664,-408,-562
-988,16352,1652,-603,-147,-580
-1008,15916,1648,-465,-160,-372
-540,15544,888,-764,141,-461
-432,15740,616,-1312,967,-717
-736,15468,1052,-1384,1744,-826
-1100,15160,608,-1078,1761,-779
-1556,15960,720,-754,770,-704
-2064,15444,1416,-152,-1048,-241
-1632,15308,1296,337,-2232,195
-1176,15148,960,279,-2519,220
-1100,15320,1016,-18,-1811,146
-884,15640,1148,-243,-835,16
-828,16412,908,-343,397,-165
-1288,16732,956,-388,1362,-90
-1436,16512,960,-254,1836,-8
-1640,16104,656,-221,1983,-197
-1648,16288,484,-123,1869,-507
-1840,16292,456,94,1649,-735
-1844,16464,580,208,1146,-755
-1756,16592,532,370,701,-919
-1300,16660,672,664,494,-1183
-1152,16532,796,884,949,-1458
-1088,16460,292,678,1755,-1607
-1264,15780,496,270,2364,-1773
-1364,15236,696,271,2467,-2018
-1448,15312,624,512,2285,-2218
-1632,15304,368,670,1809,-2144
-1628,15808,264,801,911,-2043
-1556,16264,368,1052,64,-1878
-1528,16128,288,1132,-639,-1587
-1568,15860,348,1278,-1391,-1296
-1376,15576,720,1635,-1821,-1243
-1196,16396,664,1674,-1889,-1138
-1148,16756,528,1428,-1732,-934
-900,16592,228,987,-1484,-791
-840,16440,916,895,-1211,-864
-884,16652,892,1127,-643,-822
-1292,16620,716,1051,-780,-615
-1848,16076,692,990,-2035,-92
-1780,15380,948,1015,-3753,350
-1340,16076,748,928,-4538,733
-1492,16248,692,586,-4935,1326
-1608,16240,620,234,-5128,1861
-1236,16260,436,-212,-5202,2131
-1316,16452,264,-532,-5068,2102
-1448,16320,328,-672,-4864,2070
-1404,15740,20,-710,-4702,1888
-1468,15512,-304,-1027,-4481,1626
-1428,16164,-188,-1397,-4234,1481
-1724,16820,4,-1651,-3933,1615
-1724,17264,-172,-2007,-3608,2003
-1644,17500,-532,-2365,-3154,2313
-1684,17468,-252,-2434,-2592,2355
-1356,16904,-256,-2076,-1802,1929
-1376,16076,-748,-1807,-534,1196
-1704,15528,-388,-1517,417,414
-2196,15284,-184,-930,459,-230
-2372,15276,-140,-521,20,-547
-1760,15536,-468,-696,4,-631
-1308,15292,-404,-1051,860,-727
-1228,15352,-492,-1360,2080,-877
-1556,16104,-160,-1430,2769,-864
-1968,16312,-152,-1506,2895,-575
-1836,16488,-492,-1771,2820,-251
-1204,17000,0,-1912,3388,-278
-296,16848,256,-1517,5220,-609
-116,16792,224,-1294,8069,-1130
-1144,15952,-64,-1434,10190,-1319
-1768,14296,648,-1077,9846,-1377
-2192,14468,668,-420,7768,-1873
-2052,15048,548,-114,5361,-2041
-1756,15984,992,0,3538,-1539
-1456,16308,1188,88,2292,-679
-1092,16668,1396,257,1660,92
-1116,17060,1776,437,1587,590
-1232,16664,2000,614,1239,916
-1404,15864,2124,633,629,980
-1440,15680,2016,158,-388,958
-800,16276,2172,-382,-871,794
-608,16624,2136,-996,-8,826
-708,16812,1612,-1455,1062,1060
-1176,17008,1516,-1817,1135,766
-1256,16980,1028,-1869,783,513
-816,16384,764,-2132,660,141
-872,15904,432,-2438,898,-5
-756,15076,248,-2417,1329,-78
-664,14852,56,-1935,1766,-142
-1224,15340,-144,-1230,1473,-50
-1840,15300,-300,-523,445,407
-1736,15572,-440,-378,-969,363
-1340,15592,-184,-297,-2057,92
-944,15536,228,82,-1630,-109
-900,15924,404,539,-589,-44
-1016,16168,300,822,365,-4
-1104,16480,184,892,988,-173
-1500,16496,660,954,1022,-171
-1140,15720,1104,1386,536,-298
-780,15556,1012,1485,344,-582
-384,15360,1512,1014,732,-580
-980,15384,1720,707,722,-366
-764,15996,1924,397,431,-271
-492,17116,1656,15,619,-130
-808,17516,1108,-351,883,36
-944,16444,1108,-658,559,6
-780,16128,884,-498,193,-218
-336,16520,1004,-281,520,-456
-596,17052,452,-474,1124,-298
-668,17048,580,-813,1576,-280
-832,16712,604,-1091,1637,-426
-592,16420,240,-1275,2279,-731
-792,15916,324,-1720,2662,-908
-816,15700,296,-1877,2731,-968
-1348,15856,104,-1578,2340,-1028
-1376,15720,456,-1080,1382,-956
-1536,16004,100,-919,576,-809
-1440,16200,136,-1115,103,-696
-1140,16856,456,-1120,222,-861
-1644,16768,568,-954,299,-959
-1756,16152,912,-633,-20,-954
-1852,15492,1184,-109,-774,-1026
-1660,15544,816,135,-1520,-1315
-1628,15564,728,-175,-1858,-1239
-1708,15556,1020,-522,-2108,-864
-1988,15444,1136,-551,-2799,-406
-2128,15364,948,-508,-4059,2
-2096,15124,900,-286,-5107,310
-1852,15440,848,-56,-5867,478
-1592,15584,604,-182,-5810,435
-1404,16040,472,-545,-5051,280
-1048,16140,592,-753,-3780,13
-960,16176,544,-806,-2104,-323
-1084,16164,624,-731,-383,-728
-1148,16340,616,-504,1171,-1172
-1440,16236,544,-453,2149,-1539
-1344,15488,232,-608,2825,-1888
-1516,15252,160,-700,3532,-2236
-1772,15372,276,-483,3725,-2354
-2068,15660,272,-50,3277,-2153
-2276,15640,496,279,2439,-1650
-2076,15704,632,576,1674,-1103
-1640,16440,1084,687,1777,-642
-1460,16588,1500,474,3047,-204
-1484,16836,1648,-64,5135,-149
-2060,16820,1872,-589,6651,-433
-2748,16856,1960,-1012,6239,-743
-3168,16616,1752,-1297,4400,-991
-2628,16308,1624,-1496,2549,-904
-2140,16312,1792,-1581,1354,-774
-1972,16380,1736,-1461,590,-547
-1740,16276,1492,-1617,226,-141
-1848,15868,1124,-1911,89,413
-2036,15116,1288,-1772,155,793
-2128,15096,972,-1557,-48,1098
-2432,15356,684,-1243,-608,1298
-2816,15980,232,-1239,-2369,1189
-2652,15956,408,-1258,-3432,1945
-1800,15732,532,-863,-3693,2077
-1620,15528,312,-621,-3259,1763
-1540,16216,544,-229,-2405,1273
-1884,16720,928,143,-1822,861
-2208,16724,1068,297,-1828,659
-2304,16316,1092,-54,-2393,339
-1328,15664,1408,-488,-2662,-333
-788,15504,1604,-583,-1899,-730
-752,15832,1660,-672,-693,-840
-852,15692,1972,-543,296,-317
-1176,15876,2360,-415,388,122
-1420,15932,2156,-351,134,738
-1236,15992,1720,-653,257,1043
-1292,15772,1900,-914,328,958
-1512,15616,1884,-1150,71,466
-1600,16056,1564,-1249,22,159
-1112,16224,1816,-988,491,-347
-988,15728,1872,-521,1414,-620
-2048,16480,1360,-1116,1498,-999
-2228,16048,1424,-1280,1263,-405
-1596,15844,1404,-1458,1089,-400
-1608,16116,1108,-1494,736,-512
-2076,15884,1064,-1255,456,-611
-1696,15500,880,-620,288,-436
-1824,15720,1208,-616,-432,-820
-1912,15900,380,-476,-906,-463
-1572,15348,552,-322,-1335,-616
-1416,15524,164,-216,-1587,-323
-1548,15648,40,12,-1823,-453
-1528,15820,232,247,-2147,-376
-1520,15960,260,493,-2622,-385
-1184,15924,684,813,-2470,-430
-592,16140,1452,1001,-1180,-659
-368,16120,1964,917,1089,-821
-484,16132,2056,593,3522,-797
-1068,16184,2404,244,4586,-756
-1720,16128,2560,86,3984,-558
-1956,16044,2380,-13,2399,-368
-1860,15936,2048,-100,874,-153
