accX,accY,accZ,gX,gY,gZ
-15372,1816,-6160,-176,-461,146
-15868,1996,-6380,-611,-188,-65
-15704,2168,-5708,-856,-85,-19
-14808,2044,-5468,-1002,335,-79
-14084,2080,-5176,-1118,942,-249
-14180,1952,-4920,-969,1149,-346
-14568,2056,-4964,-687,1201,-362
-15188,2060,-5124,-394,1256,-236
-15452,1968,-5288,-79,867,14
-16264,1820,-6008,121,-484,343
-14660,1836,-5248,174,-871,349
-14688,2072,-5800,7,-305,365
-15296,2032,-5856,-349,-864,296
-14960,1856,-5260,-313,-1253,220
-14904,2120,-5488,-276,-832,360
-14704,2196,-6012,-348,-359,506
-14776,2308,-5996,-383,-22,328
-15088,2228,-5740,-545,-628,410
-14968,2108,-5756,-702,-979,584
-15208,1992,-5468,-919,-1442,759
-13792,2028,-4792,-998,-1336,902
-14072,2060,-5004,-857,-169,763
-14932,2308,-5184,-744,-11,486
-14956,2484,-5308,-1101,-541,557
-14640,2444,-4856,-1325,-353,438
-15020,2232,-4868,-1305,398,397
-15220,2472,-5084,-1439,563,453
-15416,2460,-4620,-1327,105,349
-15412,2528,-4912,-1146,487,253
-15604,2376,-5128,-1136,494,162
-15452,2376,-4892,-1102,255,57
-15336,2352,-5080,-888,-218,-66
-15036,2380,-5116,-853,-127,-242
-15348,2312,-5064,-860,363,-241
-15408,2264,-5032,-991,61,-224
-14888,2304,-4832,-1174,-494,-271
-14500,2116,-4300,-1232,-630,-263
-14596,2444,-4932,-1417,-806,-354
-14904,2480,-4844,-1461,-733,-393
-14524,2528,-4368,-1154,-161,-466
-15152,2488,-4840,-911,-214,-371
-14832,2564,-4908,-837,-508,-369
-14836,2372,-4724,-681,-6,-207
-15068,2556,-4804,-615,462,-21
-15532,2604,-4936,-614,187,-107
-15748,2320,-4632,-534,-1,-143
-15604,2292,-4424,-451,-145,-143
-15244,2208,-4316,-453,-325,-196
-15308,2128,-4272,-400,-494,-271
-15044,2196,-4364,-501,-456,-412
-15252,2312,-4000,-620,-497,-533
-15148,2344,-4204,-611,-237,-584
-15116,2588,-4148,-748,-394,-645
-14948,2404,-3848,-774,-254,-678
-14808,2332,-3828,-796,-104,-766
-14564,2336,-3712,-804,28,-663
-14460,2384,-3932,-800,102,-624
-14720,2404,-4368,-924,527,-523
-14888,2588,-4708,-1307,393,-446
-15108,2672,-4420,-1793,-116,-557
-15124,2648,-3880,-1671,345,-620
-15496,2524,-4284,-1532,926,-430
-15388,2388,-4540,-1484,643,-550
-15512,2308,-4192,-1265,715,-543
-15432,2224,-4508,-1197,582,-483
-15228,2144,-4220,-1042,488,-513
-15064,2124,-4224,-817,424,-420
-14944,2020,-4284,-631,216,-423
-14876,2116,-4268,-660,186,-392
-14888,2240,-4304,-782,19,-517
-15424,2192,-4152,-711,-78,-692
-15172,2204,-4352,-540,140,-544
-15204,2192,-4992,-551,476,-199
-14976,2244,-4628,-748,349,-87
-14956,2072,-4020,-713,737,-22
-15168,2356,-4240,-523,1021,97
-15460,2272,-4076,-380,537,57
-15108,2224,-4208,-277,424,111
-15232,2192,-4464,-283,561,77
-15532,2056,-4200,-336,689,161
-15272,2220,-4084,-366,355,187
-15120,2088,-3948,-417,196,70
-15232,2080,-4292,-374,52,203
-15232,2316,-4116,-285,16,104
-15536,2296,-4492,-297,15,37
