accX,accY,accZ,gX,gY,gZ
-13792,3576,-7096,-248,-105,-321
-14064,3572,-6880,-271,5,-439
-14196,3380,-7448,-378,171,-476
-14252,3496,-7012,-773,352,-634
-14432,3336,-6720,-767,433,-735
-14320,3284,-6716,-715,413,-972
-14028,3300,-6952,-790,346,-1038
-14020,3116,-6592,-843,205,-1069
-14304,2876,-6460,-693,370,-979
-14408,2772,-6536,-499,320,-996
-14012,2744,-6776,-494,350,-896
-14016,2588,-6684,-470,400,-943
-14208,2624,-7120,-589,475,-981
-14428,2740,-7444,-677,478,-990
-14152,2736,-7332,-766,361,-1022
-14288,2876,-7344,-842,356,-921
-14460,2956,-7268,-856,468,-789
-14288,2920,-7384,-853,412,-656
-14236,2868,-6972,-710,406,-531
-14428,2796,-6872,-503,396,-292
-14328,2792,-6892,-270,560,-108
-14532,2808,-7188,-191,661,-21
-14520,2860,-7048,-185,566,109
-14832,3088,-7020,-87,671,194
-14832,3176,-7136,54,697,273
-14820,3300,-7228,176,357,174
-14588,3196,-7004,248,-12,41
-14252,3200,-7180,372,-87,-113
-14160,3284,-7208,313,-143,-318
-13896,3140,-7172,88,-121,-304
-14008,3088,-6920,-51,-85,-432
-14288,3116,-6848,-41,26,-428
-14224,2996,-7008,-201,24,-362
-14132,3052,-6968,-331,-128,-358
-14100,3060,-6712,-304,-88,-354
-14096,3060,-6980,-301,-77,-294
-14192,3016,-6988,-300,-270,-213
-14104,3224,-7052,-338,-541,-231
-13828,3272,-6984,-449,-748,-345
-13948,3312,-7272,-477,-581,-384
-13924,3220,-6988,-571,-601,-470
-14192,3116,-6832,-655,-468,-429
-14108,3144,-6964,-773,-416,-411
-13880,3200,-6932,-1183,-472,-665
-14280,2924,-6320,-913,-124,-694
-14564,3012,-6276,-750,19,-500
-14416,2892,-7000,-803,-364,-463
-14432,3052,-6552,-1037,-1194,-1005
-14836,2964,-6116,-721,-1469,-1283
-14616,2284,-6476,-73,-1172,-1176
-15152,2896,-6280,-105,-1423,-953
-14576,2292,-6164,-66,-1843,-1264
-14348,3024,-6424,-406,-3088,-2102
-13992,2996,-6512,-911,-3619,-2822
-14792,2320,-6684,-228,-2386,-2501
-14856,1848,-5724,66,-2662,-2453
-12416,2956,-6336,-769,-3470,-3095
-12380,2280,-6332,-944,-1688,-3569
-12580,2516,-7332,-1131,-551,-4110
-16036,2120,-6528,-2217,-1491,-5074
-13484,1052,-5944,-1148,-116,-4465
-13968,88,-6904,-878,399,-4439
-14036,-900,-6364,-160,2422,-3538
-14856,-476,-6080,1511,3385,-2628
-13796,-52,-5768,3328,4632,-2025
-14664,592,-6320,4097,4835,-1207
-15880,368,-6372,4435,4159,-968
-17088,64,-7060,5179,3836,735
-17528,556,-6796,5145,2463,1904
-16460,272,-5664,5891,1309,2108
-16044,752,-6140,6367,962,1944
-16080,136,-6944,6267,1069,1667
-16224,252,-6872,6043,1149,1472
-15792,380,-6900,5706,829,1077
-16572,-64,-6332,5874,-197,954
-15976,-60,-5508,6191,-772,945
-15564,148,-6016,6103,-960,646
-15200,276,-6232,5876,-1439,171
-15124,-76,-5720,6044,-1475,63
-16136,-1120,-7128,6150,-112,309
-15532,-152,-6396,5047,-1132,-41
-14520,-152,-4988,4883,-1221,-27
-15048,20,-5416,4729,-1253,-70
-14888,-120,-5864,4316,-960,137
-15192,232,-5512,4165,-544,507
-15312,644,-5472,3843,-708,701
-15020,520,-5748,3381,-813,722
-15360,280,-5620,3109,-336,908
-15724,308,-5652,2984,-293,1114
-15400,608,-5592,2795,-299,1074
-15384,652,-6216,2310,-668,662
-16028,560,-5908,1772,-871,500
-16084,972,-5596,1469,-829,565
-15844,1112,-5004,1182,-759,109
-15600,1148,-5012,853,-919,-202
-14900,1084,-5420,422,-830,-386
-14864,1656,-5864,-246,-166,-662
-14388,2144,-5184,-1039,-324,-1584
-14232,2420,-4528,-1957,-400,-2747
-14256,2280,-4372,-2631,-322,-3609
-14500,2184,-5316,-3190,861,-3804
-14440,2564,-5048,-4192,762,-4586
-14532,2816,-5044,-5425,891,-5695
-14624,2756,-5120,-6833,802,-6837
-15188,2404,-5944,-8196,1300,-7731
-15008,2268,-5452,-9501,897,-8998
-14440,1964,-5700,-10783,871,-10353
-14044,1248,-6028,-12158,847,-11493
-14216,668,-6152,-13274,626,-12362
-13532,336,-6088,-14308,-191,-13372
-13004,-108,-6592,-15256,-335,-14287
-12344,-800,-6516,-15919,-282,-15131
-12856,-792,-6688,-16480,-594,-15520
-11688,-944,-7048,-16936,-1293,-15865
-10936,-764,-8524,-17971,-1789,-16459
-11240,-1612,-8404,-18875,-2735,-16880
-10708,-2564,-7784,-19469,-2725,-16851
-10124,-2752,-8192,-19800,-2849,-17041
-9956,-2328,-9304,-20594,-2907,-16982
-11720,-4960,-9908,-20555,-2007,-16587
-11712,-2804,-9920,-21047,-2677,-15351
-10720,-3584,-10652,-21339,-3860,-14447
-10988,-3552,-12292,-21781,-3628,-13844
-10664,-3928,-12524,-22327,-3216,-13296
-10304,-4508,-12124,-22686,-2944,-12296
-9708,-5324,-12516,-22795,-2754,-11186
-9348,-5880,-13104,-23097,-2403,-10335
-9476,-5988,-13256,-23027,-1635,-9264
-9376,-5652,-14280,-22888,-1069,-8799
-9904,-6456,-14908,-22818,-849,-8060
-10416,-6568,-15164,-22796,-938,-7599
-10424,-5720,-15616,-21924,-1235,-7536
-10188,-4776,-16072,-20811,-1732,-7617
-11224,-5284,-14952,-20050,-1712,-7234
-11060,-6948,-15128,-18408,-1614,-6505
-11008,-7148,-15052,-16976,-1006,-5137
-10976,-7232,-16228,-15706,-1062,-4393
-10108,-8032,-16640,-14647,-1667,-3880
-9632,-9232,-15728,-13777,-1273,-3222
-11132,-9472,-14640,-11917,-610,-2218
-10592,-9360,-15180,-9257,-171,-1506
-11156,-8740,-15124,-7082,-77,-828
-12184,-8244,-15108,-4191,-333,139
-11412,-8408,-15592,-1987,-604,1002
-11736,-8220,-15760,-19,-502,1796
-11356,-7684,-15980,1450,-616,2173
-10516,-7068,-15520,3034,-392,2105
-10848,-7972,-14576,4319,-65,2632
-11256,-8156,-14656,6188,128,3483
-11192,-7612,-14952,7810,443,3974
-11808,-6208,-15212,9280,202,4264
-11204,-6500,-14184,10818,-480,4303
-12008,-7116,-14228,12115,-682,4782
-12188,-7420,-14068,13609,-1097,5436
-11928,-6928,-14348,14958,-1054,5677
-11948,-5820,-14660,15688,-1272,5837
-11080,-5724,-13972,16329,-1318,5968
-10896,-6492,-13860,16947,-1016,6312
-10960,-6676,-13828,17591,-1044,6684
-10932,-6028,-13716,18367,-997,6746
-11268,-5472,-13808,19023,-1045,6698
-11252,-4924,-13944,19298,-608,6929
-11156,-4384,-13392,19379,-456,7158
-10992,-3892,-12576,19819,-965,6982
-10004,-3764,-12144,20089,-1113,6516
-9600,-4404,-11204,20084,-714,6188
-9812,-4256,-11336,19853,432,6390
-9664,-3704,-10800,19509,1195,6761
-10072,-3212,-10812,19113,1628,6678
-11076,-2524,-10752,18564,1646,6563
-10960,-2520,-10320,17871,1941,6718
-10684,-2404,-9868,17041,2219,6852
-10944,-2120,-9152,16739,2702,6950
-10804,-1888,-8808,16613,2979,6995
-11688,-1868,-9184,16174,2892,7089
-12020,-1408,-9172,15326,2670,7245
-11780,-1472,-7720,14775,3131,7249
-11564,-1900,-7064,14759,2991,6989
-11468,-1400,-7640,13865,3247,6845
-11932,-1336,-6724,13352,2757,6792
-11592,-1448,-5928,12703,3001,6491
-11572,-1708,-5820,12192,3203,5990
-12696,-2240,-5728,11018,3233,5941
-13400,-1600,-6032,9896,3501,6073
-14200,-1704,-5608,8659,3731,6314
-15084,-1500,-5520,7694,4002,6702
-15236,-1424,-5784,6781,4052,6661
-16012,-1484,-5524,5969,3642,6967
-15676,-1316,-5256,5454,3377,7142
-15852,-1312,-5176,5130,2986,6930
-16640,-1652,-5116,4833,2161,6604
-16364,-1568,-4816,4646,1617,6192
-15972,-1400,-5104,4312,1374,5608
-16400,-1680,-5012,4098,855,4942
-16156,-1468,-5096,3525,543,4205
-15836,-1376,-4708,3090,379,3191
-15488,-1504,-4732,2568,380,2286
-15492,-1812,-4592,1674,817,1427
-15944,-2260,-4468,1200,1054,1001
-15804,-2404,-5072,534,1206,761
-15964,-2876,-5088,267,1091,509
-16172,-3512,-4452,674,889,227
-16484,-3568,-5228,1190,725,129
-16796,-4296,-5876,1526,444,81
-17180,-4992,-5956,2174,152,1
-17084,-5324,-6340,2824,150,-25
-17300,-5588,-6972,3563,-125,-244
-16480,-5988,-6800,4462,-568,-646
-15976,-5700,-6912,5653,-762,-1306
-16248,-5888,-7280,6784,-1308,-1817
-15192,-5764,-7656,7736,-1557,-2309
-14544,-5680,-7280,8521,-1513,-2767
-14460,-5904,-6820,9608,-1164,-3048
-14080,-5788,-6560,10771,-1059,-3072
-13560,-5660,-6628,11928,-690,-2956
-13304,-5564,-6732,13190,-575,-2876
-13168,-5456,-6552,14227,-204,-2624
-12916,-5460,-6720,14998,172,-2128
-12780,-5948,-6316,15689,807,-1710
-12620,-5788,-5900,16643,1201,-1324
-12768,-5824,-5840,17591,1302,-877
-12752,-5600,-6340,18200,1418,-449
-12800,-5712,-5960,18936,1349,-21
-12704,-5764,-5292,19913,1471,529
-12400,-5876,-5628,20687,2110,1080
-12720,-5488,-6188,21252,2243,1498
-12932,-5692,-5884,21527,2197,1914
-12392,-5088,-6468,21704,2359,2084
-12696,-4788,-6264,21879,2452,2300
-12408,-4512,-5700,22616,2126,2394
-11912,-4344,-5800,22966,2509,2390
-11980,-3968,-5660,23118,2737,2406
-11760,-3548,-5424,23058,2874,2393
-11824,-2868,-5228,22835,3532,2518
-12388,-2252,-5016,22519,3724,2747
-13040,-1616,-4088,22227,3480,2927
-14232,-1272,-4048,21902,3339,3497
-13064,652,-3716,21380,3729,4153
-14240,-16,-3508,20070,4884,6098
-16100,1144,-2848,19531,5648,7672
-15800,2020,-2324,19051,5247,8904
-17024,3028,-2660,17866,4788,9699
-17484,3916,-1720,16257,3823,10053
-16420,4168,732,15189,3601,9536
-16480,4872,1116,14108,3700,8231
-19552,5076,588,13234,2882,7494
-20460,4504,1828,10340,2430,7181
-20816,4228,2648,7817,2031,6992
-18216,4696,3556,5638,1247,5416
-17196,4380,3636,4080,1685,2752
-18656,4672,2568,2101,2437,1132
-20364,4220,292,-517,3094,315
-19648,3984,964,-3006,3607,-789
-19152,3948,2092,-4547,1905,-2241
-18336,3292,1460,-5882,1281,-3724
-18400,3140,260,-7589,2223,-4151
-18700,3396,300,-8646,2120,-4124
-17060,3368,308,-9252,1342,-5021
-16128,2732,-760,-9867,394,-6195
-16432,2860,-1968,-11040,-466,-6791
-16228,2376,-1720,-12299,-506,-6840
-15720,1992,-1748,-13225,-211,-6719
-14824,2020,-2132,-14260,-610,-7554
-15012,1484,-2920,-15364,-1075,-7921
-14444,928,-3272,-16662,-863,-7865
-14384,16,-3600,-18147,-359,-7739
-14384,-448,-3508,-19057,-553,-7917
-14280,-996,-3612,-19719,-822,-8151
-14272,-1480,-4236,-20375,-1059,-8184
-14492,-1876,-4324,-21111,-1087,-7949
-14832,-2176,-4316,-21369,-812,-7738
-14652,-2284,-4848,-21419,-1522,-7914
-14072,-2936,-5048,-21622,-2364,-8139
-13780,-3068,-5152,-21605,-2427,-8175
-13828,-3376,-6460,-22018,-2418,-7935
-14044,-3660,-6576,-22604,-2540,-7412
-14352,-3728,-6736,-22773,-2933,-7003
-14220,-3708,-6612,-22398,-3166,-6576
-14204,-4252,-7328,-22023,-3465,-6026
-14040,-4432,-7996,-22033,-3691,-5263
-12572,-4248,-7400,-21871,-3733,-4738
-12208,-4000,-7632,-21474,-3687,-4587
-12908,-3972,-8000,-21125,-3890,-4027
-12588,-4368,-8604,-21027,-4119,-3639
-12256,-4304,-8244,-20840,-4217,-3433
-12068,-4032,-8100,-20371,-4165,-3400
-12284,-4324,-9256,-20533,-3721,-3185
-12264,-4824,-9720,-21099,-3221,-2721
-12344,-5072,-8888,-21194,-3416,-2630
-12048,-4660,-7136,-20289,-3538,-2755
-12872,-5004,-8524,-19068,-3041,-2362
-12292,-5392,-9880,-19287,-2916,-1564
-11312,-5888,-8760,-19614,-1948,-1228
-12164,-5820,-7560,-18849,-1018,-1243
-13508,-5744,-8292,-17631,-532,-798
-13612,-6024,-9392,-16872,-370,127
-13740,-6264,-8596,-16218,-99,330
-14220,-6032,-8048,-14509,436,425
-14156,-6296,-8972,-13287,401,349
-15088,-7396,-8060,-12383,-135,472
-14704,-7412,-7288,-10442,-511,348
-14168,-6532,-7336,-8713,-456,-39
-14700,-6624,-7308,-7059,-170,17
-14652,-6488,-7728,-5808,-115,263
-14240,-6188,-7516,-4577,-254,94
-14392,-5432,-7636,-3555,-276,-2
-14632,-4828,-7228,-2538,-210,161
-14656,-4788,-6928,-1622,60,420
-15224,-4272,-7412,-860,145,862
-14468,-3784,-7000,-457,237,1063
-14696,-3868,-6372,167,491,1208
-14712,-3224,-6880,457,620,1203
-14636,-2716,-7296,364,493,1097
-14320,-2712,-6524,352,580,1050
-14444,-2468,-6376,511,660,1000
-14940,-2644,-6944,382,742,1158
-14864,-2428,-7180,-52,285,1253
-14480,-2400,-6160,-62,505,1256
-14672,-2400,-6520,157,436,1261
-14480,-2272,-6660,76,334,1240
-14328,-2244,-6616,-8,266,1235
-14092,-2120,-6404,-60,260,1039
-14632,-1932,-6552,139,726,1115
-14548,-1744,-7084,136,658,1207
-14376,-1664,-7040,23,626,1178
-14140,-1612,-6848,18,715,978
-14556,-1600,-7496,-145,732,864
-14476,-1760,-6936,-299,593,705
-14392,-1788,-6848,-98,847,699
-14528,-1864,-7488,-201,846,623
-14792,-1860,-7124,-389,653,493
-15084,-2012,-7252,-453,603,367
-14548,-1936,-6808,-301,446,-22
-14876,-1920,-6944,-42,457,-126
-14920,-2000,-6928,78,324,-10
-14500,-1980,-6932,82,262,85
-14296,-1808,-6916,93,383,105
-14312,-1648,-6860,-17,410,13
-14568,-1596,-7068,-39,395,15
-14552,-1588,-6868,-51,306,-36
-14436,-1604,-6892,-75,324,-96
-14604,-1476,-7508,-361,120,-140
-14676,-1508,-7412,-610,-61,-155
-14816,-1352,-7220,-739,-467,-216
-14612,-1660,-6116,-563,-395,-164
-14328,-1604,-6408,-215,0,-183
-14460,-1540,-6712,-269,-310,-132
-14352,-1664,-6544,-404,-547,72
-13928,-1628,-6496,-429,-71,319
-13928,-1392,-6552,-577,229,362
-13688,-1344,-6720,-782,134,315
-13716,-1276,-6296,-818,276,447
-13920,-1164,-6516,-766,428,686
-13248,-1112,-6928,-929,609,759
-12988,-1052,-7212,-1441,584,578
-13780,-1252,-7296,-1774,-40,551
-13832,-1060,-6836,-2170,-291,830
-14052,-468,-6612,-2226,670,1120
-15084,-204,-7536,-2046,601,1527
-15396,-172,-6408,-2031,-121,1664
-15584,-348,-6616,-1178,608,2176
-15080,-288,-7944,-1165,691,2761
-14440,-492,-7580,-1309,29,3069
-13568,-688,-6448,-1088,194,3282
-14152,-720,-5956,-889,1065,3107
-14996,80,-7856,-965,1150,3096
-14624,720,-8072,-1645,-131,2771
-14904,400,-6016,-2034,391,2655
-15960,496,-7244,-1808,602,2609
-15924,136,-8580,-2225,-81,2932
-14812,384,-5292,-2144,-972,2285
-14108,584,-5040,-122,471,2386
-15372,608,-6180,860,-313,2279
-14876,44,-5724,899,-779,1969
-14892,700,-5636,2301,-1052,1497
-15012,-132,-6372,3517,-264,1610
-15408,564,-8260,2979,-86,1537
-15500,700,-7752,638,-663,1938
-13924,-156,-5628,-22,376,2122
-11688,304,-6000,-1360,1886,1958
-14244,868,-7544,-1937,1311,926
-16040,1428,-9284,-1891,-722,855
-16788,820,-5960,-1926,572,1724
-16080,1600,-5692,-793,1096,2398
-13652,1148,-6452,-906,368,2563
-13392,1684,-6876,-2006,1510,2780
-15000,1220,-6576,-1429,1263,2906
-14940,2184,-6320,-143,322,2813
-14920,1936,-6588,721,28,2708
-16224,2716,-6760,1827,150,2890
-15840,2908,-6676,2280,869,2807
-15064,2500,-7612,1928,1481,2587
-15224,2660,-8056,1489,-341,1547
-14144,2348,-7200,715,-626,1308
-14544,2044,-6076,799,-461,1089
-14000,2600,-6172,843,23,1025
-14328,2772,-6604,913,37,757
-14192,2972,-6504,894,54,592
-13832,2524,-6636,613,-92,629
-14280,2584,-6176,559,-661,1084
-14300,2864,-6176,667,-695,1430
-14328,2960,-6584,878,-1008,1491
-13228,2780,-5532,1176,-371,1853
-14280,2600,-5528,1879,479,1977
-15008,2684,-6656,2282,384,2338
-15356,2828,-6676,2412,-451,2354
-14876,3128,-6672,2097,-616,2296
-15596,3264,-6600,1800,350,2257
-15792,3120,-6828,1223,140,1982
-14712,2772,-6964,213,-105,1624
-14452,2776,-6800,-396,-221,1080
-14332,2744,-6456,-1005,676,1003
-14940,2772,-6332,-1599,924,1165
-14540,2860,-5444,-1322,334,853
-14860,3004,-5920,-909,46,713
-13816,3084,-6436,-925,-143,503
-13556,3196,-6504,-1548,266,873
-14360,3204,-5608,-1683,694,1022
-14608,3532,-5580,-1619,464,1100
-14640,3684,-5724,-1400,899,1023
-14620,3944,-5716,-1654,897,1015
-14504,4156,-5656,-1897,1059,772
-14164,4724,-6060,-2464,676,209
-14864,4740,-6604,-2509,-20,95
-14432,4688,-6512,-2846,-195,-42
-14156,4652,-6796,-3388,-7,-295
-14196,4720,-7264,-3622,384,-434
-14156,4616,-6792,-3572,20,-572
-13736,4456,-6400,-3371,239,-948
-13840,4440,-7080,-3537,221,-1122
-13632,4316,-6664,-3678,393,-1011
-13576,4456,-6672,-3735,1086,-317
-13924,4208,-6060,-3905,2155,247
-14384,3932,-5192,-3072,1830,450
-13740,4448,-6008,-2788,1897,347
-13816,4356,-6804,-3029,1775,168
-13888,4392,-6596,-3337,1357,44
